LSOA Code,LSOA Name,LA Code (2019 boundaries),LA name (2019 boundaries),LA Code (2020 boundaries),LA name (2020 boundaries),All Ages,0-15,16-29,30-44,45-64,65
E01018933,Cornwall 014B,E06000052,Cornwall,E06000052,Cornwall,"1,713",339,272,357,464,281
E01018934,Cornwall 014C,E06000052,Cornwall,E06000052,Cornwall,"2,320",438,315,397,631,539
E01018935,Cornwall 014D,E06000052,Cornwall,E06000052,Cornwall,"2,623",590,411,531,628,463
E01018936,Cornwall 001A,E06000052,Cornwall,E06000052,Cornwall,"1,649",236,262,258,465,428
E01018937,Cornwall 001B,E06000052,Cornwall,E06000052,Cornwall,"2,070",412,306,343,580,429
E01018938,Cornwall 001C,E06000052,Cornwall,E06000052,Cornwall,"1,668",231,200,212,430,595
E01018940,Cornwall 003A,E06000052,Cornwall,E06000052,Cornwall,"1,650",274,136,233,515,492
E01018941,Cornwall 003B,E06000052,Cornwall,E06000052,Cornwall,"1,700",328,250,263,477,382
E01018942,Cornwall 003C,E06000052,Cornwall,E06000052,Cornwall,"1,546",190,147,161,563,485
E01018943,Cornwall 002A,E06000052,Cornwall,E06000052,Cornwall,"2,432",466,266,375,736,589
E01018944,Cornwall 011C,E06000052,Cornwall,E06000052,Cornwall,"1,177",153,145,168,406,305
E01018945,Cornwall 011D,E06000052,Cornwall,E06000052,Cornwall,"1,298",192,118,184,413,391
E01018946,Cornwall 005A,E06000052,Cornwall,E06000052,Cornwall,"1,566",261,206,215,438,446
E01018947,Cornwall 005B,E06000052,Cornwall,E06000052,Cornwall,"4,076",921,711,877,972,595
E01018948,Cornwall 005C,E06000052,Cornwall,E06000052,Cornwall,"1,760",294,239,298,526,403
E01018949,Cornwall 005D,E06000052,Cornwall,E06000052,Cornwall,"1,470",421,226,289,347,187
E01018950,Cornwall 005E,E06000052,Cornwall,E06000052,Cornwall,"2,046",362,373,403,517,391
E01018951,Cornwall 002B,E06000052,Cornwall,E06000052,Cornwall,"2,353",387,262,320,740,644
E01018952,Cornwall 006B,E06000052,Cornwall,E06000052,Cornwall,"1,187",169,131,137,380,370
E01018953,Cornwall 004B,E06000052,Cornwall,E06000052,Cornwall,"1,260",215,127,168,405,345
E01018954,Cornwall 008A,E06000052,Cornwall,E06000052,Cornwall,"1,551",439,179,333,377,223
E01018955,Cornwall 008B,E06000052,Cornwall,E06000052,Cornwall,"1,768",315,196,284,460,513
E01018956,Cornwall 008C,E06000052,Cornwall,E06000052,Cornwall,"1,170",170,139,168,354,339
E01018957,Cornwall 008D,E06000052,Cornwall,E06000052,Cornwall,"1,415",241,210,215,410,339
E01018958,Cornwall 008E,E06000052,Cornwall,E06000052,Cornwall,"1,212",155,156,186,323,392
E01018959,Cornwall 001D,E06000052,Cornwall,E06000052,Cornwall,"1,458",195,122,167,392,582
E01018960,Cornwall 001E,E06000052,Cornwall,E06000052,Cornwall,"2,272",485,310,388,577,512
E01018961,Cornwall 001F,E06000052,Cornwall,E06000052,Cornwall,"1,550",259,214,215,425,437
E01018962,Cornwall 007B,E06000052,Cornwall,E06000052,Cornwall,"2,128",304,206,286,614,718
E01018965,Cornwall 006C,E06000052,Cornwall,E06000052,Cornwall,"2,654",368,307,329,845,805
E01018966,Cornwall 006D,E06000052,Cornwall,E06000052,Cornwall,"1,128",129,125,105,404,365
E01018967,Cornwall 006E,E06000052,Cornwall,E06000052,Cornwall,"1,310",152,208,115,448,387
E01018968,Cornwall 004C,E06000052,Cornwall,E06000052,Cornwall,"2,580",350,276,289,833,832
E01018969,Cornwall 003D,E06000052,Cornwall,E06000052,Cornwall,"2,296",326,211,241,751,767
E01018970,Cornwall 009A,E06000052,Cornwall,E06000052,Cornwall,"1,552",257,217,213,464,401
E01018971,Cornwall 009B,E06000052,Cornwall,E06000052,Cornwall,"2,036",284,214,283,524,731
E01018972,Cornwall 009C,E06000052,Cornwall,E06000052,Cornwall,"1,985",350,280,339,497,519
E01018973,Cornwall 009D,E06000052,Cornwall,E06000052,Cornwall,"1,527",252,188,251,395,441
E01018974,Cornwall 002C,E06000052,Cornwall,E06000052,Cornwall,"2,773",455,299,392,799,828
E01018975,Cornwall 061A,E06000052,Cornwall,E06000052,Cornwall,"2,181",387,294,282,609,609
E01018976,Cornwall 067A,E06000052,Cornwall,E06000052,Cornwall,"2,076",288,233,209,621,725
E01018977,Cornwall 067B,E06000052,Cornwall,E06000052,Cornwall,"1,450",257,237,223,427,306
E01018978,Cornwall 057A,E06000052,Cornwall,E06000052,Cornwall,"1,624",310,207,282,420,405
E01018979,Cornwall 061B,E06000052,Cornwall,E06000052,Cornwall,"1,491",236,192,240,484,339
E01018980,Cornwall 061C,E06000052,Cornwall,E06000052,Cornwall,"1,706",346,204,320,444,392
E01018981,Cornwall 057B,E06000052,Cornwall,E06000052,Cornwall,"2,159",329,249,323,610,648
E01018982,Cornwall 057C,E06000052,Cornwall,E06000052,Cornwall,"2,182",421,312,383,583,483
E01018983,Cornwall 057D,E06000052,Cornwall,E06000052,Cornwall,"1,575",197,155,188,445,590
E01018984,Cornwall 057E,E06000052,Cornwall,E06000052,Cornwall,"2,604",543,405,426,721,509
E01018985,Cornwall 058A,E06000052,Cornwall,E06000052,Cornwall,"2,465",380,278,321,679,807
E01018986,Cornwall 058B,E06000052,Cornwall,E06000052,Cornwall,"1,546",173,148,168,461,596
E01018987,Cornwall 058C,E06000052,Cornwall,E06000052,Cornwall,"2,093",272,198,259,717,647
E01018988,Cornwall 065A,E06000052,Cornwall,E06000052,Cornwall,"1,656",276,173,222,498,487
E01018989,Cornwall 065B,E06000052,Cornwall,E06000052,Cornwall,"1,827",296,205,227,625,474
E01018990,Cornwall 061D,E06000052,Cornwall,E06000052,Cornwall,"1,863",246,164,231,564,658
E01018991,Cornwall 065C,E06000052,Cornwall,E06000052,Cornwall,"1,523",236,169,212,461,445
E01018992,Cornwall 069A,E06000052,Cornwall,E06000052,Cornwall,"1,825",312,157,218,587,551
